DATE,spindx
19980319,1089.74
19980320,1099.16
19980323,1095.55
19980324,1105.65
19980325,1101.92
19980326,1100.80
19980327,1095.44
19980330,1093.55
19980331,1101.75
19980401,1108.15
19980402,1120.01
19980403,1122.70
19980406,1121.39
19980407,1109.55
19980408,1101.65
19980409,1110.67
19980413,1109.69
19980414,1115.75
19980415,1119.32
19980416,1108.17
19980417,1122.72
19980420,1123.65
19980421,1126.67
19980422,1130.54
19980423,1119.58
19980424,1107.90
19980427,1086.54
19980428,1085.11
19980429,1094.62
19980430,1111.75
19980501,1121.00
19980504,1122.07
19980505,1115.50
19980506,1104.92
19980507,1095.14
19980508,1108.14
19980511,1106.64
19980512,1115.79
19980513,1118.86
19980514,1117.37
19980515,1108.73
19980518,1105.82
19980519,1109.52
19980520,1119.06
19980521,1114.64
19980522,1110.47
19980526,1094.02
19980527,1092.23
19980528,1097.59
19980529,1090.82
19980601,1090.98
19980602,1093.22
19980603,1082.73
19980604,1094.83
19980605,1113.86
19980608,1115.72
19980609,1118.41
19980610,1112.28
19980611,1094.58
19980612,1098.84
19980615,1077.01
19980616,1087.59
19980617,1107.10
19980618,1106.37
19980619,1100.65
19980622,1103.21
19980623,1119.49
19980624,1132.88
19980625,1129.28
19980626,1133.20
19980629,1138.49
19980630,1133.84
19980701,1148.56
19980702,1146.42
19980706,1157.31
19980707,1154.66
19980708,1166.37
19980709,1158.56
19980710,1164.33
19980713,1165.19
19980714,1177.58
19980715,1174.81
19980716,1183.99
19980717,1186.75
19980720,1184.10
19980721,1165.07
19980722,1164.08
19980723,1139.75
19980724,1140.80
19980727,1147.27
19980728,1130.24
19980729,1125.21
19980730,1142.95
19980731,1120.67
19980803,1112.44
19980804,1072.12
19980805,1081.43
19980806,1089.63
19980807,1089.45
19980810,1083.14
19980811,1068.98
19980812,1084.22
19980813,1074.91
19980814,1062.75
19980817,1083.67
19980818,1101.20
19980819,1098.06
19980820,1091.60
19980821,1081.18
19980824,1088.14
19980825,1092.86
19980826,1084.19
19980827,1042.59
19980828,1027.14
19980831,957.28
19980901,994.24
19980902,990.48
19980903,982.26
19980904,973.89
19980908,1023.46
19980909,1006.20
19980910,980.19
19980911,1009.06
19980914,1029.72
19980915,1037.68
19980916,1045.48
19980917,1018.87
19980918,1020.09
19980921,1023.89
19980922,1029.63
19980923,1066.09
19980924,1042.72
19980925,1044.75
19980928,1048.69
19980929,1049.02
19980930,1017.01
19981001,986.39
19981002,1002.60
19981005,988.56
19981006,984.59
19981007,970.68
19981008,959.44
19981009,984.39
19981012,997.71
19981013,994.80
19981014,1005.53
19981015,1047.50
19981016,1056.42
19981019,1062.39
19981020,1063.93
19981021,1069.92
19981022,1078.48
19981023,1070.67
19981026,1072.32
19981027,1065.34
19981028,1068.09
19981029,1085.93
19981030,1098.67
19981102,1111.60
19981103,1110.84
19981104,1118.67
19981105,1133.85
19981106,1141.01
19981109,1130.20
19981110,1128.26
19981111,1120.97
19981112,1117.69
19981113,1125.72
19981116,1135.86
19981117,1139.32
19981118,1144.48
19981119,1152.61
19981120,1163.55
19981123,1188.21
19981124,1182.99
19981125,1186.87
19981127,1192.29
19981130,1163.63
19981201,1175.28
19981202,1171.25
19981203,1150.14
19981204,1176.74
19981207,1187.70
19981208,1181.38
19981209,1183.49
19981210,1165.02
19981211,1166.46
19981214,1141.20
19981215,1162.83
19981216,1161.94
19981217,1179.98
19981218,1188.03
19981221,1202.84
19981222,1203.57
19981223,1228.54
19981224,1226.27
19981228,1225.49
19981229,1241.81
19981230,1231.93
19981231,1229.23
19990104,1228.10
19990105,1244.78
19990106,1272.34
19990107,1269.73
19990108,1275.09
19990111,1263.88
19990112,1239.51
19990113,1234.40
19990114,1212.19
19990115,1243.26
19990119,1252.00
19990120,1256.62
19990121,1235.16
19990122,1225.19
19990125,1233.98
19990126,1252.31
19990127,1243.17
19990128,1265.37
19990129,1279.64
19990201,1273.00
19990202,1261.99
19990203,1272.07
19990204,1248.49
19990205,1239.40
19990208,1243.77
19990209,1216.14
19990210,1223.55
19990211,1254.04
19990212,1230.13
19990216,1241.87
19990217,1224.03
19990218,1237.28
19990219,1239.22
19990222,1272.14
19990223,1271.18
19990224,1253.41
19990225,1245.02
19990226,1238.33
19990301,1236.16
19990302,1225.50
19990303,1227.70
19990304,1246.64
19990305,1275.47
19990308,1282.73
19990309,1279.84
19990310,1286.84
19990311,1297.68
